stateDt,stateTime,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate,createDt,updateDt
20200202,9:00,2,2,2,2,,,,,,22:49.5,
20200203,9:00,15,,,,,,,,,41:17.2,19:46.5
20200204,0:00,,,,,,,,,,26:59.6,
20200205,9:00,18,,129,,,,,,,56:31.3,43:16.2
20200205,19:00,19,1,40,,,,,,,05:40.4,05:36.4
20200206,9:00,23,1,169,,,,,,,09:49.5,04:35.3
20200207,9:00,24,2,264,,,,,,,53:27.3,44:30.3
20200207,16:00,24,2,327,,,,,,,20:45.4,
20200208,9:00,24,2,620,,,,,,,09:34.3,
20200208,16:00,24,2,939,,,,,,,00:22.2,
20200208,16:00,24,2,939,,,,,,,48:05.0,
20200208,16:00,24,2,939,,,,,,,01:12.1,
20200208,16:00,24,2,939,,,,,,,01:34.3,
20200209,9:00,25,3,960,,,,,,,58:22.2,08:56.6
20200209,16:00,27,3,888,,,,,,,59:21.2,
20200210,9:00,27,3,809,,,,,,,56:41.4,
20200210,16:00,27,3,531,,,,,,,03:49.5,04:27.3
20200211,9:00,28,4,865,,,,,,,50:10.1,
20200211,16:00,28,4,762,,,,,,,09:25.2,
20200212,9:00,28,4,992,,,,,,,05:49.5,
20200212,16:00,28,7,785,,,,,,,56:47.5,
20200213,9:00,28,7,670,,,,,,,50:45.4,
20200213,16:00,28,7,562,,,,,,,09:07.1,
20200214,9:00,28,7,692,,,,,,,50:49.5,
20200214,16:00,28,7,535,,,,,,,16:19.2,
20200215,9:00,28,7,638,,,,,,,00:11.1,
20200215,16:00,28,9,558,,,,,,,00:21.2,
20200216,9:00,29,9,577,,,,,,,04:04.0,
20200216,16:00,29,9,485,,,,,,,57:02.0,
20200217,9:00,30,9,408,,,,,,,53:13.1,
20200217,16:00,30,10,708,,,,,,,50:47.5,
20200218,9:00,31,10,957,,,,,,,04:38.4,
20200218,9:00,31,10,957,,,,,,,05:31.3,
20200218,16:00,31,12,818,,,,,,,42:00.0,
20200219,9:00,46,12,1030,,,,,,,53:08.1,
20200219,16:00,51,16,1149,,,,,,,00:13.1,
20200220,9:00,82,16,1633,,,,,,,01:31.3,
20200220,16:00,104,16,1860,1,,,,,,12:33.3,
20200221,9:00,156,16,2707,1,,,,,,58:51.5,
20200221,16:00,204,17,3180,1,,,,,,12:33.3,
20200221,16:00,204,17,3180,1,,,,,,13:21.2,
20200222,9:00,346,17,5481,2,,,,,,59:46.5,
20200222,16:00,433,18,6037,2,,,,,,00:28.3,
20200223,9:00,556,18,6039,4,,,,,,22:25.2,
20200223,16:00,602,18,8057,5,,,,,,05:12.1,
20200224,9:00,763,18,8725,7,,,,,,17:36.4,
20200224,16:00,833,22,11631,7,,,,,,03:50.5,
